,Date,ST,CB,PB,GO,CA
0,2020-01-01,194.59,79.43,259.95,161.41,96.39
1,2020-01-02,194.59,77.58,253.28,143.95,96.85
2,2020-01-03,194.12,78.03,255.12,145.86,96.84
3,2020-01-06,193.81,77.5,254.16,147.39,96.67
4,2020-01-07,194.3,77.73,254.36,147.97,97.0
5,2020-01-08,195.26,77.73,254.82,146.86,97.3
6,2020-01-09,196.64,77.77,254.05,146.03,97.45
7,2020-01-10,196.26,78.19,254.35,146.91,97.36
8,2020-01-13,196.76,78.48,253.37,145.82,97.34
9,2020-01-14,197.01,78.42,253.83,145.69,97.37
10,2020-01-15,196.77,78.49,253.71,146.54,97.23
11,2020-01-16,198.1,78.21,253.87,146.31,97.32
12,2020-01-17,199.7,78.44,254.53,146.58,97.64
13,2020-01-20,199.76,78.57,254.49,146.74,97.61
14,2020-01-21,199.13,78.56,254.89,146.74,97.53
15,2020-01-22,199.63,78.11,255.12,146.79,97.53
16,2020-01-23,199.83,78.28,257.44,147.12,97.69
17,2020-01-24,199.3,78.6,257.85,147.98,97.85
18,2020-01-27,196.23,78.77,259.62,148.99,97.96
19,2020-01-28,197.82,79.06,259.16,147.66,98.02
20,2020-01-29,197.94,79.12,259.81,148.46,97.99
21,2020-01-30,197.19,78.61,260.16,148.47,97.87
22,2020-01-31,193.9,78.44,259.95,149.33,97.39
23,2020-02-03,194.59,79.43,259.95,148.36,97.8
24,2020-02-04,197.91,79.08,259.09,146.43,97.96
25,2020-02-05,200.57,79.17,258.55,146.61,98.3
26,2020-02-06,202.0,79.44,258.69,147.4,98.5
27,2020-02-07,201.27,79.76,259.99,147.79,98.68
28,2020-02-10,202.73,79.73,261.05,148.17,98.83
29,2020-02-11,203.59,79.54,260.95,147.66,98.72
30,2020-02-12,205.13,79.16,260.72,147.54,99.05
31,2020-02-13,205.64,78.64,261.71,148.38,99.07
32,2020-02-14,205.82,78.98,262.42,149.0,99.12
33,2020-02-17,205.91,79.09,262.58,150.91,99.0
34,2020-02-18,205.41,79.06,263.37,150.91,99.44
35,2020-02-19,206.85,79.42,262.52,151.79,99.7
36,2020-02-20,205.73,79.94,263.1,152.41,99.86
37,2020-02-21,203.34,79.73,262.73,154.7,99.26
38,2020-02-24,197.16,80.01,264.38,156.09,99.36
39,2020-02-25,191.65,79.55,264.79,153.3,98.97
40,2020-02-26,190.71,79.88,263.64,153.97,99.0
41,2020-02-27,181.87,80.11,263.35,154.0,98.51
42,2020-02-28,179.06,80.67,264.76,148.38,98.13
43,2020-03-02,182.42,81.36,262.95,149.2,97.36
44,2020-03-03,178.98,81.8,263.93,153.89,97.15
45,2020-03-04,185.0,81.82,264.32,154.16,97.34
46,2020-03-05,180.1,81.17,264.01,157.49,96.82
47,2020-03-06,174.65,80.75,265.54,157.55,95.95
48,2020-03-09,160.44,79.22,268.45,157.81,94.89
49,2020-03-10,166.06,79.8,266.39,154.48,96.41
50,2020-03-11,160.54,78.87,266.2,153.93,96.51
51,2020-03-12,147.32,76.19,267.66,147.79,97.47
52,2020-03-13,156.08,77.45,256.92,143.28,98.75
53,2020-03-16,140.35,76.17,263.43,141.64,98.07
54,2020-03-17,148.29,76.48,255.16,143.56,99.58
55,2020-03-18,142.42,75.01,261.09,140.7,101.16
56,2020-03-19,145.46,75.17,258.2,138.04,102.99
57,2020-03-20,141.93,75.05,259.93,140.11,102.82
58,2020-03-23,136.84,78.75,265.67,146.3,102.49
59,2020-03-24,148.46,78.39,261.59,153.4,102.04
60,2020-03-25,151.57,79.24,263.43,151.3,101.05
61,2020-03-26,156.51,78.04,260.03,153.24,99.35
62,2020-03-27,151.96,75.91,265.07,152.25,98.36
63,2020-03-30,156.14,77.13,265.23,152.92,99.18
64,2020-03-31,155.5,77.29,263.01,148.05,99.05
65,2020-04-01,149.96,76.82,267.37,149.45,99.67
66,2020-04-02,152.77,76.69,265.51,151.9,100.18
67,2020-04-03,151.45,77.07,264.97,152.65,100.58
68,2020-04-06,160.45,77.46,265.8,156.88,100.68
69,2020-04-07,160.35,77.71,265.33,156.04,99.9
70,2020-04-08,164.47,77.67,265.61,154.65,100.12
71,2020-04-09,165.94,79.95,262.76,158.69,99.52
72,2020-04-10,194.59,79.43,259.95,161.41,99.52
73,2020-04-13,194.59,79.43,259.95,161.41,99.35
74,2020-04-14,168.52,79.29,264.0,162.68,98.89
75,2020-04-15,165.54,79.25,265.41,161.85,99.46
76,2020-04-16,166.72,79.99,267.01,161.71,100.03
77,2020-04-17,170.62,79.82,267.52,158.57,99.78
78,2020-04-20,168.75,79.64,266.49,159.7,99.96
79,2020-04-21,163.82,80.25,266.46,158.61,100.26
80,2020-04-22,167.4,80.07,266.5,161.73,100.39
81,2020-04-23,167.94,80.18,268.16,163.34,100.43
82,2020-04-24,169.32,80.25,269.13,162.64,100.38
83,2020-04-27,171.89,79.92,268.68,161.56,100.04
84,2020-04-28,172.11,79.57,268.76,160.84,99.86
85,2020-04-29,194.59,79.94,269.31,161.73,99.57
86,2020-04-30,172.75,79.31,268.09,158.8,99.02
87,2020-05-01,194.59,79.38,266.35,159.78,99.08
88,2020-05-02,194.59,79.43,259.95,159.78,97.8
89,2020-05-03,194.59,79.43,259.95,159.78,97.8
90,2020-05-04,168.68,79.93,267.85,160.34,99.48
91,2020-05-05,171.43,79.63,268.85,161.02,99.71
92,2020-05-06,171.4,79.56,268.65,158.95,100.09
93,2020-05-07,173.39,79.7,268.7,161.39,99.89
94,2020-05-08,174.76,79.27,268.44,160.42,99.73
95,2020-05-09,194.59,79.43,259.95,160.42,97.8
96,2020-05-10,194.59,79.43,259.95,160.42,97.8
97,2020-05-11,175.6,79.27,267.65,159.42,100.24
98,2020-05-12,172.56,79.83,267.1,160.04,99.93
99,2020-05-13,169.93,80.35,268.3,161.58,100.24
