Date,Price,Open,High,Low,Vol.,Change %
"Dec 31, 2020",178.36,178.07,178.4,177.32,7.54M,0.37%
"Dec 30, 2020",177.7,176.44,177.72,176.44,5.58M,0.77%
"Dec 29, 2020",176.35,176.25,176.97,175.57,5.98M,0.36%
"Dec 28, 2020",175.71,177.26,177.91,175.63,7.77M,-0.36%
"Dec 24, 2020",176.35,175.55,176.37,175.51,3.70M,0.40%
"Dec 23, 2020",175.65,175.1,176.21,175.06,6.53M,0.66%
"Dec 22, 2020",174.49,176.2,176.34,174.34,9.43M,-0.79%
"Dec 21, 2020",175.88,176.29,176.94,175.76,7.68M,-0.32%
"Dec 18, 2020",176.44,176.65,176.98,176.1,6.79M,-0.17%
"Dec 17, 2020",176.74,177.15,177.87,176.57,9.44M,1.05%
"Dec 16, 2020",174.9,174.13,175.01,173.02,8.14M,0.55%
"Dec 15, 2020",173.94,173.43,173.98,173.05,6.84M,1.40%
"Dec 14, 2020",171.54,171.91,172.52,170.91,7.63M,-0.55%
"Dec 11, 2020",172.49,172.25,173.32,172.11,6.08M,0.19%
"Dec 10, 2020",172.17,172.9,173.58,171.7,6.55M,-0.19%
"Dec 09, 2020",172.5,173.92,174.04,171.24,10.74M,-1.71%
"Dec 08, 2020",175.5,175.51,175.93,174.72,6.33M,0.35%
"Dec 07, 2020",174.89,172.56,175.29,172.51,10.52M,1.49%
"Dec 04, 2020",172.32,172.78,173.32,171.59,10.10M,-0.28%
"Dec 03, 2020",172.81,172.64,172.85,171.08,10.24M,0.79%
"Dec 02, 2020",171.46,170.57,171.76,170.15,9.17M,0.75%
"Dec 01, 2020",170.18,169.76,170.48,169.3,13.47M,2.11%
"Nov 30, 2020",166.67,166.68,167.43,166.03,13.10M,-0.67%
"Nov 27, 2020",167.79,166.9,167.83,166.78,10.57M,-1.01%
"Nov 25, 2020",169.51,169.98,170.52,169.24,10.29M,-0.05%
"Nov 24, 2020",169.59,169.3,169.69,168.86,18.83M,-1.53%
"Nov 23, 2020",172.23,175.1,175.24,171.78,15.42M,-1.97%
"Nov 20, 2020",175.69,176.12,176.38,175.58,6.38M,0.30%
"Nov 19, 2020",175.16,174.3,175.22,174.17,6.69M,-0.19%
"Nov 18, 2020",175.49,176.26,176.86,175.35,7.37M,-0.57%
"Nov 17, 2020",176.5,177.25,177.44,176.09,8.16M,-0.37%
"Nov 16, 2020",177.15,177.23,177.91,176.87,8.35M,-0.01%
"Nov 13, 2020",177.16,177.65,177.8,176.84,6.47M,0.68%
"Nov 12, 2020",175.96,176.04,176.76,175.84,7.16M,0.61%
"Nov 11, 2020",174.9,174.7,175.28,174.43,8.99M,-0.43%
"Nov 10, 2020",175.66,176.75,176.91,175.66,11.34M,0.33%
"Nov 09, 2020",175.08,176.42,176.45,173.64,29.74M,-4.43%
"Nov 06, 2020",183.19,183.4,183.53,182.19,10.38M,0.14%
"Nov 05, 2020",182.93,181.0,183.29,180.97,16.07M,2.30%
"Nov 04, 2020",178.82,178.93,179.19,177.66,11.08M,-0.06%
"Nov 03, 2020",178.92,178.95,179.39,178.3,7.45M,0.57%
"Nov 02, 2020",177.91,177.45,177.93,177.13,6.50M,0.97%
"Oct 30, 2020",176.2,177.18,177.36,175.95,7.30M,0.46%
"Oct 29, 2020",175.4,175.02,176.14,174.83,8.45M,-0.41%
"Oct 28, 2020",176.13,176.45,176.85,175.44,10.72M,-1.61%
"Oct 27, 2020",179.02,178.71,179.43,178.51,5.80M,0.26%
"Oct 26, 2020",178.55,178.75,179.14,178.22,5.10M,-0.05%
"Oct 23, 2020",178.64,179.09,179.2,177.76,5.92M,-0.11%
"Oct 22, 2020",178.83,178.88,179.03,177.72,8.36M,-0.98%
"Oct 21, 2020",180.6,180.47,181.31,180.23,7.31M,0.75%
"Oct 20, 2020",179.25,178.54,179.67,178.08,7.11M,0.48%
"Oct 19, 2020",178.39,179.41,179.48,178.37,6.08M,0.05%
"Oct 16, 2020",178.3,179.22,179.32,178.13,7.26M,-0.35%
"Oct 15, 2020",178.92,177.62,179.15,177.61,6.82M,0.36%
"Oct 14, 2020",178.27,179.11,179.59,178.27,9.10M,0.31%
"Oct 13, 2020",177.72,178.5,178.55,177.11,8.38M,-1.57%
"Oct 12, 2020",180.56,180.57,180.81,180.21,4.84M,-0.29%
"Oct 11, 2020",181.08,181.08,181.08,181.08,-,0.00%
"Oct 09, 2020",181.08,180.13,181.17,179.93,15.98M,1.82%
"Oct 08, 2020",177.85,178.14,178.44,176.7,6.53M,0.36%
"Oct 07, 2020",177.22,177.07,177.4,176.45,6.41M,-0.05%
"Oct 06, 2020",177.3,180.16,180.37,177.05,8.63M,-1.18%
"Oct 05, 2020",179.41,179.0,180.11,178.93,6.97M,0.49%
"Oct 04, 2020",178.54,178.54,178.54,178.54,-,0.00%
"Oct 03, 2020",178.54,178.54,178.54,178.54,-,0.00%
"Oct 02, 2020",178.54,178.64,179.28,178.22,7.49M,-0.09%
"Oct 01, 2020",178.7,178.72,179.49,178.05,10.40M,0.89%
"Sep 30, 2020",177.12,177.7,178.61,176.69,8.37M,-0.60%
"Sep 29, 2020",178.19,177.18,178.31,176.95,8.76M,0.84%
"Sep 28, 2020",176.7,174.94,176.8,174.94,7.11M,1.01%
"Sep 27, 2020",174.94,174.94,174.94,174.94,-,0.00%
"Sep 26, 2020",174.94,174.94,174.94,174.94,-,0.00%
"Sep 25, 2020",174.94,174.43,175.29,173.99,6.78M,-0.28%
"Sep 24, 2020",175.44,174.3,176.22,173.79,11.76M,0.37%
"Sep 23, 2020",174.79,176.98,177.25,174.22,18.13M,-2.16%
"Sep 22, 2020",178.65,179.64,180.0,178.11,7.98M,-0.48%
"Sep 21, 2020",179.52,179.83,180.29,176.81,17.44M,-2.01%
"Sep 18, 2020",183.2,183.07,184.09,182.64,9.96M,0.13%
"Sep 17, 2020",182.96,181.87,183.07,181.48,8.84M,-0.55%
"Sep 16, 2020",183.97,184.96,184.98,183.34,12.72M,0.28%
"Sep 15, 2020",183.45,184.45,184.66,182.96,7.99M,-0.24%
"Sep 14, 2020",183.89,183.59,184.29,183.4,9.71M,0.79%
"Sep 13, 2020",182.45,182.45,182.45,182.45,-,0.00%
"Sep 11, 2020",182.45,183.14,183.55,182.01,7.66M,-0.01%
"Sep 10, 2020",182.46,184.25,184.67,182.29,9.14M,-0.32%
"Sep 09, 2020",183.05,182.5,183.22,182.24,8.42M,0.97%
"Sep 08, 2020",181.29,179.49,182.25,179.04,13.23M,-0.19%
"Sep 04, 2020",181.64,180.95,182.1,180.05,11.57M,0.28%
"Sep 03, 2020",181.14,182.3,182.77,180.5,12.18M,-0.81%
"Sep 02, 2020",182.62,183.73,183.83,181.51,11.54M,-1.31%
"Sep 01, 2020",185.05,186.98,186.98,184.42,10.69M,0.12%
"Aug 31, 2020",184.83,184.75,185.5,184.3,10.25M,0.24%
"Aug 30, 2020",184.39,184.39,184.39,184.39,-,0.00%
"Aug 28, 2020",184.39,183.98,185.4,183.4,13.20M,1.74%
"Aug 27, 2020",181.24,185.11,185.13,179.39,16.30M,-1.16%
"Aug 26, 2020",183.36,180.25,183.56,180.21,12.72M,1.18%
"Aug 25, 2020",181.22,181.02,181.22,179.79,10.06M,0.12%
"Aug 24, 2020",181.0,182.92,182.92,180.69,11.61M,-0.57%
"Aug 23, 2020",182.03,182.03,182.03,182.03,-,0.00%
"Aug 21, 2020",182.03,182.14,182.81,180.47,12.71M,-0.80%
"Aug 20, 2020",183.5,181.22,183.69,180.95,16.69M,0.69%
"Aug 19, 2020",182.24,187.22,187.45,181.74,24.65M,-3.16%
"Aug 18, 2020",188.18,189.2,189.34,185.64,16.29M,0.90%
"Aug 17, 2020",186.5,184.74,187.0,184.7,15.71M,2.17%
"Aug 14, 2020",182.54,183.44,183.72,181.49,11.79M,-0.43%
"Aug 13, 2020",183.33,181.71,184.69,181.7,18.60M,2.36%
"Aug 12, 2020",179.1,182.69,183.09,179.08,28.78M,-0.47%
"Aug 11, 2020",179.94,183.33,183.98,179.49,45.35M,-5.37%
"Aug 10, 2020",190.15,190.81,192.59,189.69,19.05M,-0.35%
"Aug 09, 2020",190.81,190.81,190.81,190.81,-,0.00%
"Aug 08, 2020",190.81,190.81,190.81,190.81,-,0.00%
"Aug 07, 2020",190.81,192.71,192.95,189.33,24.57M,-1.59%
"Aug 06, 2020",193.89,193.76,194.44,192.53,20.64M,1.33%
"Aug 05, 2020",191.35,191.7,193.1,190.63,27.19M,0.93%
"Aug 04, 2020",189.59,185.64,189.59,185.24,20.77M,2.13%
"Aug 03, 2020",185.64,185.13,185.81,184.2,12.90M,0.11%
"Aug 02, 2020",185.43,185.43,185.43,185.43,-,0.00%
"Jul 31, 2020",185.43,184.51,185.75,184.16,15.89M,0.91%
"Jul 30, 2020",183.76,183.45,184.32,182.2,18.06M,-0.74%
"Jul 29, 2020",185.13,184.01,186.14,182.39,25.64M,0.75%
"Jul 28, 2020",183.75,182.23,184.25,181.47,21.16M,0.83%
"Jul 27, 2020",182.23,181.9,182.83,181.55,21.12M,1.98%
"Jul 26, 2020",178.7,178.7,178.7,178.7,-,0.00%
"Jul 25, 2020",178.7,178.7,178.7,178.7,-,0.00%
"Jul 24, 2020",178.7,179.05,179.1,178.28,15.60M,0.86%
"Jul 23, 2020",177.18,176.16,178.4,175.69,23.01M,0.88%
"Jul 22, 2020",175.63,174.02,175.76,173.76,18.71M,1.52%
"Jul 21, 2020",173.0,172.51,173.24,172.34,12.86M,1.21%
"Jul 20, 2020",170.94,170.5,171.07,170.32,10.10M,0.48%
"Jul 17, 2020",170.12,169.94,170.27,169.6,10.30M,0.82%
"Jul 16, 2020",168.73,169.85,169.99,168.66,10.24M,-0.95%
"Jul 15, 2020",170.34,169.68,170.41,169.39,7.53M,0.09%
"Jul 14, 2020",170.19,168.96,170.19,168.84,9.81M,0.47%
"Jul 13, 2020",169.4,170.3,170.41,169.19,11.10M,0.12%
"Jul 12, 2020",169.19,169.19,169.19,169.19,-,0.00%
"Jul 11, 2020",169.19,169.19,169.19,169.19,-,0.00%
"Jul 10, 2020",169.19,169.95,170.15,168.58,8.22M,-0.26%
"Jul 09, 2020",169.63,170.48,170.62,168.79,13.33M,-0.27%
"Jul 08, 2020",170.09,170.32,170.85,169.79,11.66M,0.62%
"Jul 07, 2020",169.04,167.41,169.04,167.38,11.63M,0.63%
"Jul 06, 2020",167.98,167.8,167.99,167.2,7.27M,0.60%
"Jul 05, 2020",166.98,166.98,166.98,166.98,-,0.00%
"Jul 04, 2020",166.98,166.98,166.98,166.98,-,0.00%
"Jul 02, 2020",166.98,166.18,167.24,166.02,8.75M,0.22%
"Jul 01, 2020",166.62,167.01,167.01,165.35,13.21M,-0.45%
"Jun 30, 2020",167.37,166.31,167.99,166.2,12.76M,0.44%
"Jun 29, 2020",166.63,166.58,166.79,166.18,6.74M,0.05%
"Jun 26, 2020",166.54,164.87,166.56,164.22,9.75M,0.45%
"Jun 25, 2020",165.8,165.88,165.89,165.19,7.09M,-0.06%
"Jun 24, 2020",165.9,165.97,166.96,165.49,10.90M,-0.35%
"Jun 23, 2020",166.48,165.67,166.52,165.56,12.14M,0.84%
"Jun 22, 2020",165.09,165.07,165.72,164.42,12.39M,0.65%
"Jun 19, 2020",164.03,162.81,164.04,162.8,12.19M,1.10%
"Jun 18, 2020",162.24,162.23,162.29,161.44,5.40M,-0.20%
"Jun 17, 2020",162.56,161.93,162.61,161.77,4.76M,0.19%
"Jun 16, 2020",162.25,161.87,162.68,161.38,7.97M,-0.05%
"Jun 15, 2020",162.33,160.52,162.47,160.2,8.54M,-0.18%
"Jun 12, 2020",162.62,163.41,163.88,162.56,6.90M,0.14%
"Jun 11, 2020",162.39,163.36,164.05,161.98,11.67M,-0.72%
"Jun 10, 2020",163.57,162.12,163.61,160.53,13.01M,1.43%
"Jun 09, 2020",161.26,161.13,161.77,160.88,9.05M,0.96%
"Jun 08, 2020",159.72,158.86,159.85,158.49,9.24M,1.08%
"Jun 07, 2020",158.01,158.01,158.01,158.01,-,0.00%
"Jun 05, 2020",158.01,158.72,158.72,157.04,16.02M,-2.03%
"Jun 04, 2020",161.28,161.14,161.82,159.87,10.09M,1.05%
"Jun 03, 2020",159.6,160.31,160.89,158.83,17.00M,-1.85%
"Jun 02, 2020",162.6,163.93,164.07,161.86,10.39M,-0.65%
"Jun 01, 2020",163.66,162.99,163.74,162.46,8.16M,0.46%
"May 29, 2020",162.91,162.58,163.4,162.32,12.58M,0.74%
"May 28, 2020",161.72,162.14,162.45,160.95,9.76M,0.34%
"May 27, 2020",161.18,159.31,161.33,159.24,13.06M,0.18%
"May 26, 2020",160.89,162.53,162.53,160.69,13.97M,-1.42%
"May 22, 2020",163.21,162.88,163.47,162.74,8.54M,0.59%
"May 21, 2020",162.25,163.45,163.57,161.42,11.79M,-1.46%
"May 20, 2020",164.65,164.5,164.94,163.89,10.67M,0.24%
"May 19, 2020",164.26,163.56,164.42,163.06,8.53M,0.97%
"May 18, 2020",162.69,164.33,164.48,162.42,14.14M,-0.76%
"May 15, 2020",163.93,164.02,164.7,163.1,13.92M,0.56%
"May 14, 2020",163.01,161.54,163.34,161.54,17.08M,0.89%
"May 13, 2020",161.58,160.95,161.62,160.54,10.95M,0.96%
"May 12, 2020",160.04,160.3,160.95,159.72,10.41M,0.39%
"May 11, 2020",159.42,160.34,160.71,158.89,11.21M,-0.62%
"May 10, 2020",160.42,160.42,160.42,160.42,-,0.00%
"May 09, 2020",160.42,160.42,160.42,160.42,-,0.00%
"May 08, 2020",160.42,161.08,162.0,160.0,12.24M,-0.60%
"May 07, 2020",161.39,159.5,161.96,159.36,13.70M,1.54%
"May 06, 2020",158.95,158.99,159.81,158.1,13.35M,-1.29%
